Name,ENVIRON_DISCLOSURE_SCORE,Company name
BC8 GY,#N/A N/A,Bechtle AG
BDEV LN,26.35658915,Barratt Developments PLC
BEAN SE,14.72868217,Belimo Holding AG
BEI GY,55.03875969,Beiersdorf AG
BESI NA,#N/A N/A,BE Semiconductor Industries NV
BEZ LN,25.89285714,Beazley PLC
BG AV,#N/A N/A,BAWAG Group AG
BHP LN,52.71317829,BHP Group PLC
BIM FP,41.08527132,BioMerieux
BIRG ID,15.17857143,Bank of Ireland Group PLC
BKG LN,25.58139535,Berkeley Group Holdings PLC
BKT SQ,#N/A N/A,Bankinter SA
BLND LN,44.96124031,British Land Co PLC/The
BME LN,15.50387597,B&M European Value Retail SA
BMW GY,64.34108527,Bayerische Motoren Werke AG
BN FP,48.8372093,Danone SA
BNP FP,#N/A N/A,BNP Paribas SA
BNR GY,37.20930233,Brenntag AG
BNZL LN,#N/A N/A,Bunzl PLC
BOL FP,46.51162791,Bollore SA
BOL SS,56.58914729,Boliden AB
BOSS GY,55.03875969,HUGO BOSS AG
BP/ LN,73.55371901,BP PLC
BRBY LN,28.125,Burberry Group PLC
BT/A LN,36.58536585,BT Group PLC
BVI FP,38.75968992,Bureau Veritas SA
BVIC LN,#N/A N/A,Britvic PLC
BWY LN,15.50387597,Bellway PLC
CA FP,37.20930233,Carrefour SA
CABK SQ,#N/A N/A,CaixaBank SA
CAP FP,#N/A N/A,Capgemini SE
CARLB DC,#N/A N/A,Carlsberg A/S
CAST SS,43.41085271,Castellum AB
CBG LN,25,Close Brothers Group PLC
CBK GY,#N/A N/A,Commerzbank AG
CCH LN,70.54263566,Coca-Cola HBC AG
CCL LN,#N/A N/A,Carnival PLC
CDI FP,50.3875969,Christian Dior SE
CDR PW,8.527131783,CD Projekt SA
CFR SE,#N/A N/A,Cie Financiere Richemont SA
CHR DC,37.98449612,Chr Hansen Holding A/S
CINE LN,15.50387597,Cineworld Group PLC
CLN SE,55.03875969,Clariant AG
CLNX SQ,33.33333333,Cellnex Telecom SA
CMBN SE,22.32142857,Cembra Money Bank AG
CNA LN,#N/A N/A,Centrica PLC
CNHI IM,73.64341085,CNH Industrial NV
CNP FP,44.64285714,CNP Assurances
COFB BB,38.75968992,Cofinimmo SA
COL SQ,#N/A N/A,Inmobiliaria Colonial Socimi SA
COLOB DC,45.73643411,Coloplast A/S
COLR BB,17.82945736,Colruyt SA
CON GY,44.96124031,Continental AG
COV FP,#N/A N/A,Covivio
CPG LN,19.37984496,Compass Group PLC
CPI LN,22.48062016,Capita PLC
CPR IM,43.41085271,Davide Campari-Milano SpA
CRDA LN,#N/A N/A,Croda International PLC
CRH ID,61.24031008,CRH PLC
CS FP,45.53571429,AXA SA
CSGN SE,#N/A N/A,Credit Suisse Group AG
CSP LN,#N/A N/A,Countryside Properties PLC
CTEC LN,45.73643411,ConvaTec Group PLC
DAI GY,59.68992248,Daimler AG
DANSKE DC,#N/A N/A,Danske Bank A/S
DB1 GY,#N/A N/A,Deutsche Boerse AG
DBK GY,51.78571429,Deutsche Bank AG
DCC LN,21.70542636,DCC PLC
DEMANT DC,#N/A N/A,Demant A/S
DG FP,39.53488372,Vinci SA
DGE LN,51.9379845,Diageo PLC
DHER GY,3.100775194,Delivery Hero SE
DIA IM,36.43410853,DiaSorin SpA
DIM FP,#N/A N/A,Sartorius Stedim Biotech
DLG GY,#N/A N/A,Dialog Semiconductor PLC
DLG LN,21.42857143,Direct Line Insurance Group PLC
DLN LN,45.73643411,Derwent London PLC
DNB NO,#N/A N/A,DNB ASA
DOM SS,24.80620155,Dometic Group AB
DPH LN,14.72868217,Dechra Pharmaceuticals PLC
DPLM LN,13.95348837,Diploma PLC
DPW GY,41.86046512,Deutsche Post AG
DSM NA,#N/A N/A,Koninklijke DSM NV
DSV DC,#N/A N/A,DSV PANALPINA A/S
DSY FP,#N/A N/A,Dassault Systemes SE
DTE GY,46.34146341,Deutsche Telekom AG
DUFN SE,#N/A N/A,Dufry AG
DWNI GY,#N/A N/A,Deutsche Wohnen SE
EBS AV,#N/A N/A,Erste Group Bank AG
ECM LN,22.48062016,Electrocomponents PLC
EDEN FP,47.28682171,Edenred
EDF FP,#N/A N/A,Electricite de France SA
EDP PL,62.79069767,EDP - Energias de Portugal SA
EKTAB SS,9.302325581,Elekta AB
EL FP,#N/A N/A,EssilorLuxottica SA
ELE SQ,#N/A N/A,Endesa SA
ELI BB,#N/A N/A,Elia Group SA/NV
ELIS FP,51.9379845,Elis SA
ELISA FH,#N/A N/A,Elisa Oyj
ELUXB SS,49.6124031,Electrolux AB
EMG LN,29.45736434,Man Group PLC/Jersey
EMSN SE,#N/A N/A,EMS-Chemie Holding AG
EN FP,38.75968992,Bouygues SA
ENEL IM,57.36434109,Enel SpA
ENG SQ,61.24031008,Enagas SA
ENGI FP,51.1627907,Engie SA
ENI IM,#N/A N/A,Eni SpA
ENTRA NO,41.08527132,Entra ASA
ENX FP,37.98449612,Euronext NV
EO FP,54.26356589,Faurecia SE
EOAN GY,46.51162791,E.ON SE
EPIA SS,30.23255814,Epiroc AB
EQNR NO,59.50413223,Equinor ASA
EQT SS,#N/A N/A,EQT AB
ERF FP,13.17829457,Eurofins Scientific SE
ERICB SS,44.96124031,Telefonaktiebolaget LM Ericsson
ESSITYB SS,47.28682171,Essity AB
ETL FP,15.50387597,Eutelsat Communications SA
EVD GY,4.651162791,CTS Eventim AG & Co KGaA
EVK GY,62.79069767,Evonik Industries AG
EVO SS,2.325581395,Evolution Gaming Group AB
EVR LN,51.9379845,Evraz PLC
EVT GY,#N/A N/A,Evotec SE
EXO IM,13.17829457,EXOR NV
EXPN LN,#N/A N/A,Experian PLC
EZJ LN,15.50387597,easyJet PLC
FABG SS,37.20930233,Fabege AB
FBK IM,1.785714286,FinecoBank Banca Fineco SpA
FCA IM,65.89147287,Fiat Chrysler Automobiles NV
FDJ FP,#N/A N/A,La Francaise des Jeux SAEM
FER SQ,#N/A N/A,Ferrovial SA
FERG LN,25.58139535,Ferguson PLC
FGR FP,44.18604651,Eiffage SA
FHZN SE,40.31007752,Flughafen Zurich AG
FI-N SE,#N/A N/A,Georg Fischer AG
FLTR ID,15.50387597,Flutter Entertainment PLC
FME GY,#N/A N/A,Fresenius Medical Care AG & Co KGaA
FNTN GY,#N/A N/A,Freenet AG
FORTUM FH,66.66666667,Fortum Oyj
FP FP,#N/A N/A,TOTAL SA
FPE3 GY,10.85271318,FUCHS PETROLUB SE
FR FP,#N/A N/A,Valeo SA
FRA GY,42.63565891,Fraport AG Frankfurt Airport Services Worldwide
FRE GY,24.03100775,Fresenius SE & Co KGaA
FTI FP,2.325581395,TechnipFMC PLC
G IM,#N/A N/A,Assicurazioni Generali SpA
G1A GY,34.10852713,GEA Group AG
G24 GY,#N/A N/A,Scout24 AG
GALE SE,31.78294574,Galenica AG
GALP PL,#N/A N/A,Galp Energia SGPS SA
GAW LN,#N/A N/A,Games Workshop Group PLC
GBLB BB,10.71428571,Groupe Bruxelles Lambert SA
GEBN SE,#N/A N/A,Geberit AG
GET FP,34.10852713,Getlink SE
GETIB SS,44.96124031,Getinge AB
GFC FP,24.03100775,Gecina SA
GFS LN,21.70542636,G4S PLC
GIVN SE,#N/A N/A,Givaudan SA
GJF NO,37.5,Gjensidige Forsikring ASA
GLB ID,#N/A N/A,Glanbia PLC
GLE FP,#N/A N/A,Societe Generale SA
GLEN LN,60.46511628,Glencore PLC
GLJ GY,2.678571429,GRENKE AG
GLPG NA,6.976744186,Galapagos NV
GMAB DC,#N/A N/A,Genmab A/S
GN DC,13.95348837,GN Store Nord A/S
GNS LN,14.72868217,Genus PLC
GPOR LN,41.86046512,Great Portland Estates PLC
GRF SQ,#N/A N/A,Grifols SA
GRG LN,29.16666667,Greggs PLC
GSK LN,#N/A N/A,GlaxoSmithKline PLC
GVC LN,#N/A N/A,GVC Holdings PLC
GYC GY,30.23255814,Grand City Properties SA
HAS LN,17.05426357,Hays PLC
HEI GY,#N/A N/A,HeidelbergCement AG
HEIA NA,#N/A N/A,Heineken NV
HEIO NA,13.95348837,Heineken Holding NV
HELN SE,35.71428571,Helvetia Holding AG
HEN3 GY,58.91472868,Henkel AG & Co KGaA
HER IM,41.86046512,Hera SpA
HEXAB SS,13.95348837,Hexagon AB
HFG GY,#N/A N/A,HelloFresh SE
HIK LN,20.15503876,Hikma Pharmaceuticals PLC
HL/ LN,16.27906977,Hargreaves Lansdown PLC
HLMA LN,18.60465116,Halma PLC
HMB SS,43.75,Hennes & Mauritz AB
HMSO LN,#N/A N/A,Hammerson PLC
HNR1 GY,#N/A N/A,Hannover Rueck SE
HO FP,51.9379845,Thales SA
HOLMB SS,57.36434109,Holmen AB
HOT GY,44.96124031,HOCHTIEF AG
HPOLB SS,44.96124031,Hexpol AB
HSBA LN,41.07142857,HSBC Holdings PLC
HSV LN,9.302325581,HomeServe PLC
HSX LN,20.53571429,Hiscox Ltd
HUH1V FH,51.9379845,Huhtamaki Oyj
HUSQB SS,#N/A N/A,Husqvarna AB
HWDN LN,19.37984496,Howden Joinery Group PLC
IAG LN,32.55813953,International Consolidated Airlines Group SA
IBE SQ,66.89655172,Iberdrola SA
ICA SS,41.86046512,ICA Gruppen AB
ICAD FP,43.41085271,ICADE
ICP LN,17.85714286,Intermediate Capital Group PLC
IFX GY,54.26356589,Infineon Technologies AG
IG IM,#N/A N/A,Italgas SpA
IGG LN,11.62790698,IG Group Holdings PLC
IHG LN,#N/A N/A,InterContinental Hotels Group PLC
IIA AV,28.68217054,IMMOFINANZ AG
III LN,#N/A N/A,3i Group PLC
ILD FP,24.80620155,Iliad SA
IMB LN,38.75968992,Imperial Brands PLC
IMCD NA,#N/A N/A,IMCD NV
IMI LN,20.93023256,IMI PLC
INCH LN,23.95833333,Inchcape PLC
INDT SS,#N/A N/A,Indutrade AB
INDUA SS,16.96428571,Industrivarden AB
INF LN,#N/A N/A,Informa PLC
ING FP,42.63565891,Ingenico Group SA
INGA NA,#N/A N/A,ING Groep NV
INVEB SS,8.035714286,Investor AB
INVP LN,44.64285714,Investec PLC
IP IM,#N/A N/A,Interpump Group SpA
IPN FP,#N/A N/A,Ipsen SA
ISP IM,#N/A N/A,Intesa Sanpaolo SpA
ISS DC,#N/A N/A,ISS A/S
ITRK LN,29.45736434,Intertek Group PLC
ITV LN,#N/A N/A,ITV PLC
ITX SQ,52.08333333,Industria de Diseno Textil SA
IWG LN,#N/A N/A,IWG PLC
JD/ LN,32.29166667,JD Sports Fashion PLC
JMAT LN,45.73643411,Johnson Matthey PLC
JMT PL,#N/A N/A,Jeronimo Martins SGPS SA
KBC BB,#N/A N/A,KBC Group NV
KBX GY,#N/A N/A,Knorr-Bremse AG
KER FP,#N/A N/A,Kering SA
KESKOB FH,51.9379845,Kesko Oyj
KGF LN,44.79166667,Kingfisher PLC
KGH PW,#N/A N/A,KGHM Polska Miedz SA
KGX GY,#N/A N/A,KION Group AG
KINVB SS,21.42857143,Kinnevik AB
KN FP,#N/A N/A,Natixis SA
KNEBV FH,56.58914729,Kone Oyj
KNIN SE,#N/A N/A,Kuehne + Nagel International AG
KOJAMO FH,#N/A N/A,Kojamo Oyj
KPN NA,#N/A N/A,Koninklijke KPN NV
KSP ID,21.70542636,Kingspan Group PLC
KYG ID,17.05426357,Kerry Group PLC
LAND LN,49.6124031,Land Securities Group PLC
LDO IM,55.03875969,Leonardo SpA
LEG GY,26.35658915,LEG Immobilien AG
LGEN LN,#N/A N/A,Legal & General Group PLC
LHA GY,#N/A N/A,Deutsche Lufthansa AG
LHN SE,#N/A N/A,LafargeHolcim Ltd
LI FP,34.10852713,Klepierre SA
LIGHT NA,41.86046512,Signify NV
LIN GY,#N/A N/A,Linde PLC
LISN SE,29.45736434,Chocoladefabriken Lindt & Spruengli AG
LLOY LN,48.21428571,Lloyds Banking Group PLC
LOGN SE,32.55813953,Logitech International SA
LONN SE,51.1627907,Lonza Group AG
LOOMB SS,6.976744186,Loomis AB
LPP PW,37.98449612,LPP SA
LR FP,#N/A N/A,Legrand SA
LSE LN,48.8372093,London Stock Exchange Group PLC
LUN DC,#N/A N/A,H Lundbeck A/S
LUNDB SS,13.95348837,L E Lundbergforetagen AB
LUNE SS,56.19834711,Lundin Energy AB
LXS GY,51.1627907,LANXESS AG
MAERSKB DC,#N/A N/A,AP Moller - Maersk A/S
MAP SQ,#N/A N/A,Mapfre SA
MB IM,42.85714286,Mediobanca Banca di Credito Finanziario SpA
MC FP,64.58333333,LVMH Moet Hennessy Louis Vuitton SE
MCRO LN,16.27906977,Micro Focus International PLC
METSO FH,42.63565891,Metso Oyj
MF FP,20.15503876,Wendel SE
MGGT LN,#N/A N/A,Meggitt PLC
MKS LN,#N/A N/A,Marks & Spencer Group PLC
ML FP,#N/A N/A,Cie Generale des Etablissements Michelin SCA
MNDI LN,65.11627907,Mondi PLC
MNG LN,#N/A N/A,M&G PLC
MONC IM,#N/A N/A,Moncler SpA
MONY LN,16.27906977,Moneysupermarket.com Group PLC
MOR GY,#N/A N/A,MorphoSys AG
MOWI NO,36.43410853,Mowi ASA
MRK GY,57.36434109,Merck KGaA
MRL SQ,#N/A N/A,Merlin Properties Socimi SA
MRO LN,20.93023256,Melrose Industries PLC
MRW LN,37.98449612,Wm Morrison Supermarkets PLC
MT NA,37.98449612,ArcelorMittal SA
MTX GY,#N/A N/A,MTU Aero Engines AG
MUV2 GY,60.71428571,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen
NDA SS,33.92857143,Nordea Bank Abp
NEM GY,#N/A N/A,Nemetschek SE
NESN SE,#N/A N/A,Nestle SA
NESTE FH,52.71317829,Neste Oyj
NETW LN,#N/A N/A,Network International Holdings PLC
NEXI IM,24.10714286,Nexi SpA
NG/ LN,42.63565891,National Grid PLC
NHY NO,57.36434109,Norsk Hydro ASA
NIBEB SS,59.68992248,Nibe Industrier AB
NN NA,#N/A N/A,NN Group NV
NOKIA FH,#N/A N/A,Nokia Oyj
NOVN SE,#N/A N/A,Novartis AG
NOVOB DC,34.10852713,Novo Nordisk A/S
NTGY SQ,#N/A N/A,Naturgy Energy Group SA
NXT LN,48.95833333,Next PLC
NZYMB DC,#N/A N/A,Novozymes A/S
O2D GY,#N/A N/A,Telefonica Deutschland Holding AG
OCDO LN,18.60465116,Ocado Group PLC
OMU LN,5.357142857,Old Mutual Ltd
OMV AV,61.98347107,OMV AG
OR FP,59.68992248,L'Oreal SA
ORA FP,#N/A N/A,Orange SA
ORK NO,50.3875969,Orkla ASA
ORNBV FH,#N/A N/A,Orion Oyj
ORP FP,29.45736434,Orpea
ORSTED DC,56.58914729,Orsted A/S
OSR GY,#N/A N/A,OSRAM Licht AG
PAH3 GY,#N/A N/A,Porsche Automobil Holding SE
PEO PW,#N/A N/A,Bank Polska Kasa Opieki SA
PGHN SE,16.07142857,Partners Group Holding AG
PHIA NA,57.36434109,Koninklijke Philips NV
PHNX LN,#N/A N/A,Phoenix Group Holdings PLC
PKN PW,#N/A N/A,Polski Koncern Naftowy ORLEN SA
PKO PW,#N/A N/A,Powszechna Kasa Oszczednosci Bank Polski SA
PNDORA DC,#N/A N/A,Pandora A/S
PNN LN,26.35658915,Pennon Group PLC
POLY LN,58.13953488,Polymetal International PLC
PROX BB,42.63565891,Proximus SADP
PRU LN,44.64285714,Prudential PLC
PRX NA,#N/A N/A,Prosus NV
PRY IM,45.73643411,Prysmian SpA
PSM GY,#N/A N/A,ProSiebenSat.1 Media SE
PSN LN,27.90697674,Persimmon PLC
PSON LN,44.96124031,Pearson PLC
PSPN SE,#N/A N/A,PSP Swiss Property AG
PST IM,57.36434109,Poste Italiane SpA
PUB FP,#N/A N/A,Publicis Groupe SA
PUM GY,40.31007752,Puma SE
PZU PW,40.17857143,Powszechny Zaklad Ubezpieczen SA
QIA GY,11.62790698,QIAGEN NV
QLT LN,#N/A N/A,Quilter PLC
RAA GY,21.70542636,Rational AG
RACE IM,#N/A N/A,Ferrari NV
RAND NA,42.63565891,Randstad NV
RB/ LN,44.18604651,Reckitt Benckiser Group PLC
RBI AV,42.85714286,Raiffeisen Bank International AG
RBREW DC,#N/A N/A,Royal Unibrew A/S
RBS LN,#N/A N/A,Royal Bank of Scotland Group PLC
RCO FP,43.41085271,Remy Cointreau SA
RDSA NA,#N/A N/A,Royal Dutch Shell PLC
RDW LN,23.25581395,Redrow PLC
REC IM,45.73643411,Recordati SpA
REE SQ,40.68965517,Red Electrica Corp SA
REL LN,41.86046512,RELX PLC
REP SQ,57.02479339,Repsol SA
RF FP,58.92857143,Eurazeo SE
RHM GY,#N/A N/A,Rheinmetall AG
RI FP,62.01550388,Pernod Ricard SA
RIO LN,51.9379845,Rio Tinto PLC
RMG LN,54.16666667,Royal Mail PLC
RMS FP,37.20930233,Hermes International
RMV LN,#N/A N/A,Rightmove PLC
RNO FP,54.26356589,Renault SA
ROG SE,44.96124031,Roche Holding AG
ROR LN,17.82945736,Rotork PLC
RR/ LN,27.90697674,Rolls-Royce Holdings PLC
RSA LN,#N/A N/A,RSA Insurance Group PLC
RTO LN,#N/A N/A,Rentokil Initial PLC
RUI FP,#N/A N/A,Rubis SCA
RWE GY,43.41085271,RWE AG
RXL FP,#N/A N/A,Rexel SA
RYA ID,6.976744186,Ryanair Holdings PLC
SAABB SS,#N/A N/A,Saab AB
SAB SQ,16.07142857,Banco de Sabadell SA
SAF FP,37.98449612,Safran SA
SALM NO,32.55813953,Salmar ASA
SAMPO FH,#N/A N/A,Sampo Oyj
SAN FP,58.13953488,Sanofi
SAN SQ,#N/A N/A,Banco Santander SA
SAND SS,47.28682171,Sandvik AB
SAP GY,24.80620155,SAP SE
SBBB SS,#N/A N/A,Samhallsbyggnadsbolaget i Norden AB
SBMO NA,38.75968992,SBM Offshore NV
SBRY LN,22.48062016,J Sainsbury PLC
SCAB SS,49.6124031,Svenska Cellulosa AB SCA
SCHA NO,37.20930233,Schibsted ASA
SCHP SE,#N/A N/A,Schindler Holding AG
SCMN SE,#N/A N/A,Swisscom AG
SCR FP,28.57142857,SCOR SE
SDR LN,27.90697674,Schroders PLC
SEBA SS,50,Skandinaviska Enskilda Banken AB
SECUB SS,20.93023256,Securitas AB
SESG FP,11.62790698,SES SA
SEV FP,#N/A N/A,Suez SA
SGE LN,17.82945736,Sage Group PLC/The
SGO FP,62.79069767,Cie de Saint-Gobain
SGRE SQ,52.71317829,Siemens Gamesa Renewable Energy SA
SGRO LN,#N/A N/A,Segro PLC
SGSN SE,41.86046512,SGS SA
SHBA SS,42.85714286,Svenska Handelsbanken AB
SHL GY,#N/A N/A,Siemens Healthineers AG
SIE GY,54.26356589,Siemens AG
SIG LN,24.03100775,Signature Aviation PLC
SIGN SE,#N/A N/A,SIG Combibloc Group AG
SIKA SE,#N/A N/A,Sika AG
SIM DC,13.17829457,SimCorp A/S
SINCH SS,#N/A N/A,Sinch AB
SK FP,47.28682171,SEB SA
SKAB SS,32.55813953,Skanska AB
SKFB SS,50.3875969,SKF AB
SKG ID,61.24031008,Smurfit Kappa Group PLC
SLA LN,36.43410853,Standard Life Aberdeen PLC
SLHN SE,42.85714286,Swiss Life Holding AG
SMDS LN,48.0620155,DS Smith PLC
SMIN LN,20.93023256,Smiths Group PLC
SMWH LN,40.625,WH Smith PLC
SN/ LN,35.65891473,Smith & Nephew PLC
SOBI SS,6.976744186,Swedish Orphan Biovitrum AB
SOF BB,#N/A N/A,Sofina SA
SOLB BB,51.1627907,Solvay SA
SOON SE,49.6124031,Sonova Holding AG
SOP FP,38.75968992,Sopra Steria Group
SPIE FP,24.03100775,SPIE SA
SPL PW,#N/A N/A,Santander Bank Polska SA
SPM IM,#N/A N/A,Saipem SpA
SPSN SE,35.65891473,Swiss Prime Site AG
SPX LN,25.58139535,Spirax-Sarco Engineering PLC
SRCG SE,19.37984496,Sunrise Communications Group AG
SREN SE,#N/A N/A,Swiss Re AG
SRG IM,55.81395349,Snam SpA
SRT3 GY,#N/A N/A,Sartorius AG
SSE LN,41.08527132,SSE PLC
SSPG LN,19.37984496,SSP Group Plc
STAN LN,49.10714286,Standard Chartered PLC
STB NO,#N/A N/A,Storebrand ASA
STERV FH,67.44186047,Stora Enso Oyj
STJ LN,27.67857143,St James's Place PLC
STM IM,#N/A N/A,STMicroelectronics NV
STMN SE,34.88372093,Straumann Holding AG
SU FP,51.9379845,Schneider Electric SE
SUBC NO,25.58139535,Subsea 7 SA
SVT LN,24.03100775,Severn Trent PLC
SW FP,15.50387597,Sodexo SA
SWECB SS,#N/A N/A,Sweco AB
SWEDA SS,50,Swedbank AB
SWMA SS,41.08527132,Swedish Match AB
SXS LN,31.00775194,Spectris PLC
SY1 GY,51.9379845,Symrise AG
TATE LN,25.58139535,Tate & Lyle PLC
TCAP LN,24.80620155,TP ICAP PLC
TECN SE,40.31007752,Tecan Group AG
TEF SQ,#N/A N/A,Telefonica SA
TEG GY,13.17829457,TAG Immobilien AG
TEL NO,35.77235772,Telenor ASA
TEL2B SS,29.26829268,Tele2 AB
TELIA SS,36.58536585,Telia Co AB
TEMN SE,34.88372093,Temenos AG
TEN IM,29.45736434,Tenaris SA
TEP FP,35.65891473,Teleperformance
TGS NO,31.78294574,TGS NOPEC Geophysical Co ASA
TIT IM,#N/A N/A,Telecom Italia SpA/Milano
TKA GY,#N/A N/A,thyssenkrupp AG
TKWY NA,0.775193798,Just Eat Takeaway.com NV
TMV GY,#N/A N/A,TeamViewer AG
TOM NO,38.75968992,TOMRA Systems ASA
TOP DC,#N/A N/A,Topdanmark A/S
TPK LN,23.25581395,Travis Perkins PLC
TRELB SS,52.71317829,Trelleborg AB
TRN IM,57.36434109,Terna Rete Elettrica Nazionale SpA
TRN LN,#N/A N/A,Trainline PLC
TRYG DC,25.89285714,Tryg A/S
TSCO LN,#N/A N/A,Tesco PLC
TUI LN,26.35658915,TUI AG
TW/ LN,37.20930233,Taylor Wimpey PLC
TYRES FH,#N/A N/A,Nokian Renkaat Oyj
UBI FP,15.50387597,Ubisoft Entertainment SA
UBI IM,#N/A N/A,Unione di Banche Italiane SpA
UBSG SE,54.46428571,UBS Group AG
UCB BB,45.73643411,UCB SA
UCG IM,44.64285714,UniCredit SpA
UDG LN,12.40310078,UDG Healthcare PLC
UG FP,#N/A N/A,Peugeot SA
UHR SE,11.62790698,Swatch Group AG/The
ULVR LN,#N/A N/A,Unilever PLC
UMI BB,39.53488372,Umicore SA
UN01 GY,#N/A N/A,Uniper SE
UNA NA,#N/A N/A,Unilever NV
UPM FH,53.48837209,UPM-Kymmene Oyj
URW NA,#N/A N/A,Unibail-Rodamco-Westfield
UTDI GY,#N/A N/A,United Internet AG
UTG LN,#N/A N/A,UNITE Group PLC/The
UU/ LN,32.55813953,United Utilities Group PLC
VACN SE,12.40310078,VAT Group AG
VALMT FH,52.71317829,Valmet Oyj
VCT LN,27.13178295,Victrex PLC
VER AV,55.03875969,Verbund AG
VIE FP,51.1627907,Veolia Environnement SA
VIFN SE,#N/A N/A,Vifor Pharma AG
VIV FP,45.73643411,Vivendi SA
VMUK LN,29.46428571,Virgin Money UK PLC
VNA GY,#N/A N/A,Vonovia SE
VOD LN,#N/A N/A,Vodafone Group PLC
VOE AV,#N/A N/A,voestalpine AG
VOLVB SS,41.86046512,Volvo AB
VOW3 GY,62.79069767,Volkswagen AG
VPK NA,44.96124031,Koninklijke Vopak NV
VTY LN,#N/A N/A,Vistry Group PLC
VWS DC,45.73643411,Vestas Wind Systems A/S
WDI GY,2.325581395,Wirecard AG
WDP BB,9.302325581,Warehouses De Pauw CVA
WEIR LN,22.48062016,Weir Group PLC/The
WG/ LN,#N/A N/A,John Wood Group PLC
WIE AV,#N/A N/A,Wienerberger AG
WIHL SS,#N/A N/A,Wihlborgs Fastigheter AB
WKL NA,26.35658915,Wolters Kluwer NV
WLN FP,44.18604651,Worldline SA/France
WPP LN,#N/A N/A,WPP PLC
WRT1V FH,62.79069767,Wartsila OYJ Abp
WTB LN,28.68217054,Whitbread PLC
YAR NO,53.48837209,Yara International ASA
ZAL GY,41.08527132,Zalando SE
ZURN SE,#N/A N/A,Zurich Insurance Group AG
AAN UN,#N/A N/A,Aaron's Inc
AAOI UQ,2.325581395,Applied Optoelectronics Inc
AAON UW,4.651162791,AAON Inc
AAT UN,1.550387597,American Assets Trust Inc
AAWW UW,8.527131783,Atlas Air Worldwide Holdings Inc
AAXN UW,6.201550388,Axon Enterprise Inc
ABCB UW,1.785714286,Ameris Bancorp
ABEO UR,#N/A N/A,Abeona Therapeutics Inc
ABG UN,1.550387597,Asbury Automotive Group Inc
ABM UN,#N/A N/A,ABM Industries Inc
ABTX UQ,#N/A N/A,Allegiance Bancshares Inc
AC UN,1.785714286,Associated Capital Group Inc
ACA UN,#N/A N/A,Arcosa Inc
ACAD UW,2.325581395,ACADIA Pharmaceuticals Inc
ACBI UW,#N/A N/A,Atlantic Capital Bancshares Inc
ACCO UN,#N/A N/A,ACCO Brands Corp
ACER UR,#N/A N/A,Acer Therapeutics Inc
ACIA UW,#N/A N/A,Acacia Communications Inc
ACIW UW,#N/A N/A,ACI Worldwide Inc
ACLS UW,#N/A N/A,Axcelis Technologies Inc
ACNB UR,3.571428571,ACNB Corp
ACOR UW,#N/A N/A,Acorda Therapeutics Inc
ACRE UN,#N/A N/A,Ares Commercial Real Estate Corp
ACRS UW,#N/A N/A,Aclaris Therapeutics Inc
ACRX UQ,#N/A N/A,AcelRx Pharmaceuticals Inc
ACTG UW,#N/A N/A,Acacia Research Corp
ADC UN,#N/A N/A,Agree Realty Corp
ADES UQ,3.875968992,Advanced Emissions Solutions Inc
ADMA UQ,#N/A N/A,ADMA Biologics Inc
ADMS UQ,#N/A N/A,Adamas Pharmaceuticals Inc
ADNT UN,6.201550388,Adient PLC
ADRO UW,#N/A N/A,Aduro Biotech Inc
ADSW UN,#N/A N/A,Advanced Disposal Services Inc
ADTN UW,#N/A N/A,ADTRAN Inc
ADUS UW,1.550387597,Addus HomeCare Corp
ADVM UQ,#N/A N/A,Adverum Biotechnologies Inc
AEGN UW,#N/A N/A,Aegion Corp
AEIS UW,3.875968992,Advanced Energy Industries Inc
AEL UN,#N/A N/A,American Equity Investment Life Holding Co
AEO UN,16.66666667,American Eagle Outfitters Inc
AERI UQ,1.550387597,Aerie Pharmaceuticals Inc
AFI UN,13.95348837,Armstrong Flooring Inc
AFIN UW,1.550387597,American Finance Trust Inc
AFMD UQ,#N/A N/A,Affimed NV
AGE UA,#N/A N/A,AgeX Therapeutics Inc
AGEN UR,#N/A N/A,Agenus Inc
AGLE UQ,#N/A N/A,Aeglea BioTherapeutics Inc
AGM UN,#N/A N/A,Federal Agricultural Mortgage Corp
AGS UN,#N/A N/A,PlayAGS Inc
AGX UN,#N/A N/A,Argan Inc
AGYS UW,#N/A N/A,Agilysys Inc
AHH UN,11.62790698,Armada Hoffler Properties Inc
AHT UN,#N/A N/A,Ashford Hospitality Trust Inc
AI UN,2.678571429,Arlington Asset Investment Corp
AIMC UW,#N/A N/A,Altra Industrial Motion Corp
AIMT UW,#N/A N/A,Aimmune Therapeutics Inc
AIN UN,#N/A N/A,Albany International Corp
AIR UN,#N/A N/A,AAR Corp
AIRG UR,#N/A N/A,Airgain Inc
AIT UN,2.325581395,Applied Industrial Technologies Inc
AJRD UN,0.775193798,Aerojet Rocketdyne Holdings Inc
AJX UN,#N/A N/A,Great Ajax Corp
AKBA UQ,#N/A N/A,Akebia Therapeutics Inc
AKCA UW,#N/A N/A,Akcea Therapeutics Inc
AKR UN,14.72868217,Acadia Realty Trust
AKRO UW,#N/A N/A,Akero Therapeutics Inc
AKTS UR,#N/A N/A,Akoustis Technologies Inc
ALBO UR,#N/A N/A,Albireo Pharma Inc
ALCO UW,1.550387597,Alico Inc
